,PPG,APG,SPG,BPG,RPG,TS%,A/T Ratio,EFG%,3P%,REB%,BLK%,DRTG,USG%
LAC,17.536930542583647,23.43095795108307,24.043172276078735,17.70893037779385,13.551514124186829,17.371021373576916,45.407390344314955,15.584558194711343,17.747186701060887,11.985472154963679,703.7486628926279,16.960547654805435,17.492361701283304
SAC,29.360836782515047,50.013011407250204,42.59024945140181,51.281885742845866,24.408226030493363,16.62537917430317,28.59894576170378,15.802414846694152,20.108846162025625,27.03246193622521,5.134026279461005,14.672496785125253,16.575615248036428
ATL,9.046540873270658,21.194672245740854,12.410514805144066,14.868334303526511,8.967200852464941,12.981648879974909,41.4019955921905,12.211023725867461,20.286185386170114,2.9928271085827416,415.9072060981719,11.641387665820742,12.110383822769284
BRK,10.126027370485389,20.33708410950783,12.344364376831257,13.374692835853756,10.422422438656259,14.212828116055235,44.34923461525743,13.159496343754546,18.850695241987115,3.4810126582278422,483.35901162582564,13.259703389212685,14.601351438612342
CLE,18.241185045923316,21.48535852750304,21.025018635198684,14.896871169052922,15.248879095467002,15.32731564228772,43.308095759420226,13.646887769299695,15.499527061141865,12.899022801302932,366.5713283047068,16.064693683984384,19.154837200492487
MIN,9.611370740554609,18.494801996956287,11.880502040025942,14.08214671257185,10.344836321197615,13.442006762416092,38.739939040152386,12.629832114907668,16.887406806742632,3.534910896874081,343.9052913741213,13.23361585266083,13.874375576859727
MIL,16.66056622264312,20.04543316615272,26.755151476324063,16.030375815421806,12.37562301739152,17.033230475567382,47.30486454462138,15.148653740649037,17.01854107164737,11.458333333333332,542.6278448334407,17.653508056763332,17.703017660380276
MEM,8.528058539878181,12.433328703521468,5.664592103006461,18.468578081279016,7.074407248408512,13.336211298502104,35.99960730723018,12.086200761506968,15.826977076029305,8.047155304971813,435.57006836208876,12.694533080674555,12.34425609219329
